{'ip': '220.250.31.117', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.6.230', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.250.12.116', 'other': 'NOERROR', 'type': '3'}
{'ip': '220.248.27.2', 'other': 'NOERROR', 'type': '1'}
{'ip': '220.248.159.234', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.61.250', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.79.74', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.250.34.74', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.174.1', 'other': 'NOERROR', 'type': '3'}
{'ip': '220.248.66.240', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.33.115', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.249.74.222', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '220.248.43.243', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.249.159.98', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.209.204', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.249.151.54', 'other': 'NOERROR', 'type': '1'}
{'ip': '220.249.155.246', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.29.158', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.107.148', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '220.248.16.126', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.67.215', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '223.167.99.57', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.236.42', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.167.190.32', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.191.246', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.195.122', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.167.254.174', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.239.93', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.47.219', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.166.166.239', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.166.99.88', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.255.122', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.15.63', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.118.199', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.164.142', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.253.170', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '223.167.190.86', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.102.85', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.12.93', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.102.137', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.153.63', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.186.178', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.100.225', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.73.176', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.123.206', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.102.221', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.230.11', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.185.26', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.68.227', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.153.247', 'other': 'NOERROR', 'type': '4'}
{'ip': '58.247.0.66', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.247.118.229', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.73.180', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.182.174', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.73.179', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.239.14', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.73.168', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.142.238', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.3.206', 'other': 'NOERROR', 'type': '1'}
{'ip': '58.246.202.233', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.61.254', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.68.67', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.75.242', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.244.213', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.168.34', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.73.188', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.192.62', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '112.65.241.86', 'other': 'NOERROR', 'type': '4'}
{'ip': '112.65.7.31', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '112.65.66.95', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.131.126', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.114.216', 'other': 'NXDOMAIN', 'type': '3'}
