{'ip': '220.250.12.117', 'other': 'NOERROR', 'type': '2'}
{'ip': '220.249.9.46', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.1.178', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.22.230', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.12.62', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.33.120', 'other': 'NOERROR', 'type': '2'}
{'ip': '220.249.191.199', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.45.35', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.13.6', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.18.75', 'other': 'REFUSED', 'type': '3'}
{'ip': '220.249.154.38', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.36.89', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.248.243.42', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.213.170', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.33.124', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.249.189.82', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.42.245', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '220.248.46.238', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.35.114', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.250.4.224', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.96.202', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.249.0.138', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.14.177', 'other': 'NOERROR', 'type': '4'}
{'ip': '220.248.93.110', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.249.7.146', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.101.51', 'other': 'NOERROR', 'type': '4'}
{'ip': '220.248.163.138', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.194.44', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '220.248.209.203', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.249.100.62', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.185.144', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.158.85', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.244.42', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.33.10', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.209.208', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.249.130.215', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.49.150', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.152.183', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.250.217', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.224.33', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.167.74.17', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.47.23', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.19.178', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.155.113', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.99.12', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.99.12', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.164.77', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.166.251.150', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.19.79', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.253.178', 'other': 'REFUSED', 'type': '4'}
{'ip': '223.166.204.236', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.166.66.231', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.75.185', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.166.125.196', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.46.78', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.238.65', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.187.228', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.167.189', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '223.167.224.208', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.251.46', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.96.62', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.244.28', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.46.142', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.251.141', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.8.2', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '58.246.203.229', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.209.250', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.79.214', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.229.38', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.244.201', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.210.13', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.247.15.106', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.28.250', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.149.166', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.241.214', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.67.154', 'other': 'NOERROR', 'type': '3'}
{'ip': '58.247.26.42', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.16.142', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.36.64', 'other': 'NXDOMAIN', 'type': '3'}
