{'ip': '1.202.104.118', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.80.213', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.86.199', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.87.82', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.56.64', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '1.202.63.174', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.128.66', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.181.200', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.0.142', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.33.166', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.36.1', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.73.24', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.156.100', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.26.247', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '1.202.48.214', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.65.5', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.26.89', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.43.103', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.201.166', 'other': 'NOERROR', 'type': '2'}
{'ip': '1.202.120.249', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.81.130', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.54.170', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.30.106', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.6.241', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.32.114', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.81.142', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.47.217', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.21.166', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.4.9', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.242.246', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '1.202.76.48', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.181.157', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.203.24.244', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.223.190', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.180.126', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.58.7', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.181.199', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.64.226', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '1.202.65.138', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.59.232', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.66.210', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.245.4', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.135.1', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '1.203.253.172', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.91.251', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.68.101', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.72.235', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.54.173', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.51.16', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.161.48', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.47.105', 'other': 'NXDOMAIN', 'type': '3'}
