{'ip': '1.202.181.150', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.33.200', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.249.34', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.82.120', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.203.49', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.23.81', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.27.129', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.71.91', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.243.96', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.41.81', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.249.240', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.227.131', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '1.202.181.190', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.100.129', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.22.172', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.72.17', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.41.233', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.69.113', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.156.100', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.24.194', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.59.232', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.30.185', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.15.237', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.181.156', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.181.162', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.124.142', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.23.91', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.85.83', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.135.1', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '1.203.246.157', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.56.64', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '1.202.181.153', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.109.252', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.0.142', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.172.131', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.10.101', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.254.65', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '211.100.61.112', 'other': 'REFUSED', 'type': '4'}
{'ip': '211.100.56.136', 'other': 'REFUSED', 'type': '4'}
{'ip': '211.100.28.141', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '211.100.14.36', 'other': 'NOERROR', 'type': '1'}
{'ip': '211.100.40.57', 'other': 'REFUSED', 'type': '4'}
{'ip': '211.100.44.216', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '180.149.153.124', 'other': 'REFUSED', 'type': '4'}
{'ip': '180.149.153.203', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '180.149.136.164', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '180.149.155.117', 'other': 'REFUSED', 'type': '4'}
{'ip': '180.149.139.113', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '180.149.153.200', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '180.149.136.172', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '180.149.144.18', 'other': 'REFUSED', 'type': '4'}
{'ip': '180.149.136.131', 'other': 'NXDOMAIN', 'type': '2'}
